confidence_slice,N,N_5d,N_10d,mean_return_5d,median_return_5d,std_return_5d,mean_return_10d,median_return_10d,std_return_10d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,positive_5d_rate,positive_10d_rate,target_hit_5d_rate,stop_hit_5d_rate,target_hit_10d_rate,stop_hit_10d_rate,MFE_MAE_ratio_5d,evidence_strength,mean_raw_tcs,mean_adjusted_tcs,mean_adjustment,raw_spearman_5d,adjusted_spearman_5d
high,841,193,0,0.5577407512953368,0.323625,3.1981049919239433,,,,3.9098253160621765,3.309859,-2.365789492227979,-2.160014,,,,,0.5647668393782384,,0.32,0.26857142857142857,,,1.6526513998420476,USEFUL_BUT_NOISY,6.791988466111771,6.791988466111771,0.0,0.02936459614395359,0.02936459614395359
low,1947,1491,1082,1.465657836351442,0.830654,4.539053891135675,2.8892656876155267,2.001244,5.1048778257853344,4.514741482897384,3.24833,-2.5327459973172366,-2.074967,6.446622887245841,4.920234000000001,-2.89726120702403,-2.494396,0.6170355466130114,0.7060998151571165,0.34121929026387626,0.24749772520473157,0.5633626097867002,0.2810539523212045,1.782548067464933,STRONGER_AGGREGATE,5.4388770929635335,5.2194385208012335,-0.21943857216230098,-0.018872989092949818,-0.018897652487584956
normal,3060,2270,1505,1.0848834462555066,0.687387,4.433948553243423,2.504765265780731,1.880246,5.166061423697673,4.097144636123348,2.903027,-2.721315692511013,-2.32391,6.256846863122925,4.828039,-3.229711104318937,-2.76259,0.5696035242290749,0.6737541528239203,0.3082066869300912,0.2875379939209726,0.5346260387811634,0.3471837488457987,1.5055749126786644,STRONGER_AGGREGATE,6.9405286601307195,6.649449117647058,-0.29107954248366014,-0.13226358770901556,-0.13226234907979575
