candidate,split,N,top20_N,top20_mean_5d,top20_mean_10d,spearman_10d,selection_status
ACCEL_0.00,calibration,1176.0,235.0,0.8288667489361702,3.285426489361702,0.01407634614683033,CALIBRATION_CANDIDATE
ACCEL_0.00,validation,540.0,109.0,0.9564640458715596,1.1792344311926606,-0.12092262479412644,CALIBRATION_CANDIDATE
ACCEL_0.10,calibration,1176.0,236.0,0.7944230000000001,3.3988760127118645,0.015224958130154207,FROZEN_FROM_CALIBRATION
ACCEL_0.10,holdout,871.0,175.0,1.7819628342857143,2.018302674285714,-0.03955529856867583,FROZEN_FROM_CALIBRATION
ACCEL_0.10,validation,540.0,108.0,1.1052172500000002,1.2459773333333335,-0.11812363501730636,FROZEN_FROM_CALIBRATION
ACCEL_0.15,calibration,1176.0,236.0,0.7664308983050848,3.2965608686440677,0.01567542771652018,CALIBRATION_CANDIDATE
ACCEL_0.15,validation,540.0,109.0,1.1067254220183487,1.1875205045871562,-0.11712674328352148,CALIBRATION_CANDIDATE
ACCEL_0.20,calibration,1176.0,237.0,0.6271467215189873,3.175295392405063,0.016175620640442572,CALIBRATION_CANDIDATE
ACCEL_0.20,validation,540.0,109.0,1.1067254220183487,1.1875205045871562,-0.1163200709841373,CALIBRATION_CANDIDATE
ACCEL_0.25,calibration,1176.0,236.0,0.5982454449152542,3.167793745762712,0.016813958500755195,CALIBRATION_CANDIDATE
ACCEL_0.25,validation,540.0,109.0,1.1067254220183487,1.1875205045871562,-0.11626398131290915,CALIBRATION_CANDIDATE
BASELINE,calibration,1176.0,236.0,0.7664308983050848,3.2965608686440677,0.01567542771652018,BASELINE
BASELINE,holdout,871.0,175.0,1.7819628342857143,2.018302674285714,-0.03960165426713325,BASELINE
BASELINE,validation,540.0,109.0,1.1067254220183487,1.1875205045871562,-0.11712674328352148,BASELINE
HTF_0.00,calibration,1176.0,235.0,0.5835246851063831,3.211591455319149,0.013117173279313128,CALIBRATION_CANDIDATE
HTF_0.00,validation,540.0,109.0,1.273656596330275,1.3230363944954129,-0.11338182310779568,CALIBRATION_CANDIDATE
HTF_0.10,calibration,1176.0,236.0,0.6034236016949153,3.235740190677966,0.014092315152996358,CALIBRATION_CANDIDATE
HTF_0.10,validation,540.0,108.0,1.2709090092592594,1.3029600648148147,-0.11559243604087742,CALIBRATION_CANDIDATE
HTF_0.20,calibration,1176.0,236.0,0.6210850211864406,3.280447601694915,0.015179225132634156,CALIBRATION_CANDIDATE
HTF_0.20,validation,540.0,109.0,1.1067254220183487,1.1875205045871562,-0.1167556064573187,CALIBRATION_CANDIDATE
HTF_0.25,calibration,1176.0,236.0,0.7664308983050848,3.2965608686440677,0.01567542771652018,CALIBRATION_CANDIDATE
HTF_0.25,validation,540.0,109.0,1.1067254220183487,1.1875205045871562,-0.11712674328352148,CALIBRATION_CANDIDATE
HTF_0.30,calibration,1176.0,236.0,0.6981289830508475,3.224333563559322,0.016266122092132074,CALIBRATION_CANDIDATE
HTF_0.30,validation,540.0,109.0,1.1067254220183487,1.1875205045871562,-0.11803675698897104,CALIBRATION_CANDIDATE
RESIDUAL_0.000,calibration,1176.0,236.0,0.7539597838983052,3.3505112288135592,0.01671251682517916,CALIBRATION_CANDIDATE
RESIDUAL_0.000,validation,540.0,109.0,1.1067254220183487,1.1875205045871562,-0.1184761769112354,CALIBRATION_CANDIDATE
RESIDUAL_0.075,calibration,1176.0,236.0,0.7944230000000001,3.3988760127118645,0.016205311031757888,CALIBRATION_CANDIDATE
RESIDUAL_0.075,validation,540.0,109.0,1.1067254220183487,1.1875205045871562,-0.11785202012955572,CALIBRATION_CANDIDATE
RESIDUAL_0.150,calibration,1176.0,236.0,0.7664308983050848,3.2965608686440677,0.01567542771652018,CALIBRATION_CANDIDATE
RESIDUAL_0.150,validation,540.0,109.0,1.1067254220183487,1.1875205045871562,-0.11712674328352148,CALIBRATION_CANDIDATE
RESIDUAL_0.225,calibration,1176.0,235.0,0.6642323234042553,3.227391374468085,0.015089182912991694,CALIBRATION_CANDIDATE
RESIDUAL_0.225,validation,540.0,109.0,1.1067254220183487,1.1875205045871562,-0.11713718835171666,CALIBRATION_CANDIDATE
RESIDUAL_0.300,calibration,1176.0,236.0,0.6349512161016949,3.2016697457627115,0.01480740625957198,CALIBRATION_CANDIDATE
RESIDUAL_0.300,validation,540.0,109.0,1.1067254220183487,1.1875205045871562,-0.11754855671810134,CALIBRATION_CANDIDATE
STAGE_CURRENT,calibration,1176.0,236.0,0.7664308983050848,3.2965608686440677,0.01567542771652018,CALIBRATION_CANDIDATE
STAGE_CURRENT,validation,540.0,109.0,1.1067254220183487,1.1875205045871562,-0.11712674328352148,CALIBRATION_CANDIDATE
STAGE_HALF,calibration,1176.0,236.0,0.6534798516949152,3.2199382754237282,0.017072188683864193,CALIBRATION_CANDIDATE
STAGE_HALF,validation,540.0,109.0,1.1067254220183487,1.1875205045871562,-0.11580651096377667,CALIBRATION_CANDIDATE
STAGE_NONE,calibration,1176.0,236.0,0.6212938093220339,3.159547512711864,0.018320264351317665,CALIBRATION_CANDIDATE
STAGE_NONE,validation,540.0,109.0,1.1514291743119267,1.2717919266055047,-0.11285068505922935,CALIBRATION_CANDIDATE
STAGE_STRONGER_34,calibration,1176.0,236.0,0.7664308983050848,3.2965608686440677,0.015307534692057992,CALIBRATION_CANDIDATE
STAGE_STRONGER_34,validation,540.0,109.0,1.1067254220183487,1.1875205045871562,-0.1169752402012851,CALIBRATION_CANDIDATE
