architecture_slice,TS_cutoff,EQ_cutoff,N,N_5d,N_10d,mean_return_5d,median_return_5d,std_return_5d,mean_return_10d,median_return_10d,std_return_10d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,positive_5d_rate,positive_10d_rate,target_hit_5d_rate,stop_hit_5d_rate,target_hit_10d_rate,stop_hit_10d_rate,MFE_MAE_ratio_5d,evidence_strength
HIGH_TS_HIGH_EQ,6.968249999999999,6.8992,1474,1018,614,0.46612033005893916,0.13078499999999998,3.723125297679608,1.7964500032573292,1.2750460000000001,4.527474914937961,3.4608389155206285,2.529236,-2.8149823104125735,-2.503594,5.303308780130293,4.187305500000001,-3.4602065423452766,-2.9989505000000003,0.5343811394891945,0.6156351791530945,0.2638888888888889,0.3611111111111111,0.4766355140186916,0.4462616822429907,1.2294354045206757,STRONGER_AGGREGATE
HIGH_TS_LOW_EQ,6.968249999999999,6.8992,1450,988,712,0.820498386639676,0.3375205,4.428085674459937,1.7422190870786518,0.940573,5.075328571584037,4.049703127530364,2.925259,-3.041388798582996,-2.4376585,5.754747234550563,4.1655014999999995,-3.7365029957865166,-3.18782,0.5566801619433198,0.5814606741573034,0.30080213903743314,0.2887700534759358,0.49063670411985016,0.36329588014981273,1.3315308879342058,STRONGER_AGGREGATE
LOW_TS_HIGH_EQ,6.968249999999999,6.8992,1450,963,592,1.6454053094496366,1.091443,4.649517260802984,3.7560920304054055,2.6598115,5.53917253772625,4.587916960539979,3.177741,-2.3458753894080995,-2.10905,7.235345567567568,5.6504475,-2.5614014543918917,-2.061198,0.608515057113188,0.7820945945945946,0.36235955056179775,0.23595505617977527,0.6252927400468384,0.26229508196721313,1.9557377093663877,STRONGER_AGGREGATE
LOW_TS_LOW_EQ,6.968249999999999,6.8992,1474,985,669,1.9146568598984772,1.36713,4.7126696690363765,3.480972234678625,2.557463,5.06984478098469,4.917958804060914,3.563089,-2.315417412182741,-2.073704,7.107420470852018,5.793238,-2.532504076233184,-2.29948,0.6517766497461929,0.7817638266068759,0.35859269282814615,0.20027063599458728,0.6008146639511202,0.20977596741344195,2.124005277918663,STRONGER_AGGREGATE
TS_GE_8_EQ_LT_5,8.0,5.0,256,179,140,0.26435771508379896,-0.125686,4.371604516805859,0.9467059214285714,-0.03333,5.212823911156413,3.7531565083798886,3.454565,-3.283109184357542,-2.422697,5.2138591214285706,4.4986815,-4.33462875,-3.411206,0.49162011173184356,0.5,0.27906976744186046,0.34108527131782945,0.5102040816326531,0.4897959183673469,1.143171395658085,USEFUL_BUT_NOISY
TS_GE_8_EQ_GE_7,8.0,7.0,481,344,231,0.0888618866279069,-0.16406500000000002,3.9499473903202436,1.663328194805195,1.525282,4.422593081753268,3.208931680232558,2.362205,-3.1115713139534886,-2.6869199999999998,5.0095995757575755,4.268028,-3.7094886926406927,-3.286853,0.4883720930232558,0.6147186147186147,0.25663716814159293,0.41150442477876104,0.44805194805194803,0.5,1.0312897749900405,USEFUL_BUT_NOISY
