analysis_kind,slice_value,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,spearman_5d,spearman_10d,missing_sector_N,total_N,missing_sector_rate
SCORE_MODEL,BROAD_ONLY,5848,4984,0.22385097493081108,0.09651385752231785,1.7194404187923427,1.332458114528634,-1.241134852491841,-1.0497424433345115,0.5244783306581059,4268,0.7302323370630908,0.3047972435727519,3.2357115630158693,2.205151249349735,-2.2176758271205066,-1.8782249742002155,0.5433458294283037,3954,1.2027377907430892,0.7280657510193134,4.245471456266126,3.025153363116506,-2.632854894366562,-2.2514816398851223,0.5872534142640364,2587,2.665580682798213,1.9768983147131047,6.336219745957669,4.881706097967342,-3.0906655721678598,-2.625,0.6872825666795516,0.6161825726141079,4.270428015564202,3.0758725341426403,6.073830691921144,-0.09647058925380952,-0.19322562876925836,,,
SCORE_MODEL,CURRENT_BROAD_SECTOR_MIX,5848,4984,0.22385097493081108,0.09651385752231785,1.7194404187923427,1.332458114528634,-1.241134852491841,-1.0497424433345115,0.5244783306581059,4268,0.7302323370630908,0.3047972435727519,3.2357115630158693,2.205151249349735,-2.2176758271205066,-1.8782249742002155,0.5433458294283037,3954,1.2027377907430892,0.7280657510193134,4.245471456266126,3.025153363116506,-2.632854894366562,-2.2514816398851223,0.5872534142640364,2587,2.665580682798213,1.9768983147131047,6.336219745957669,4.881706097967342,-3.0906655721678598,-2.625,0.6872825666795516,0.6161825726141079,4.270428015564202,3.0758725341426403,6.073830691921144,-0.09647058925380952,-0.19322562876925836,,,
SCORE_MODEL,SECTOR_ONLY,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,
SCORE_MODEL,ISOLATED_SECTOR_CONTRIBUTION,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,
SCORE_MODEL,V5_SECTOR_DATA_FIX,5848,4984,0.22385097493081108,0.09651385752231785,1.7194404187923427,1.332458114528634,-1.241134852491841,-1.0497424433345115,0.5244783306581059,4268,0.7302323370630908,0.3047972435727519,3.2357115630158693,2.205151249349735,-2.2176758271205066,-1.8782249742002155,0.5433458294283037,3954,1.2027377907430892,0.7280657510193134,4.245471456266126,3.025153363116506,-2.632854894366562,-2.2514816398851223,0.5872534142640364,2587,2.665580682798213,1.9768983147131047,6.336219745957669,4.881706097967342,-3.0906655721678598,-2.625,0.6872825666795516,0.6161825726141079,4.270428015564202,3.0758725341426403,6.073830691921144,-0.0861850186612504,-0.014073654945861836,,,
MISSINGNESS_BY_COUNTRY,MISSING,5848,4984,0.22385097493081108,0.09651385752231785,1.7194404187923427,1.332458114528634,-1.241134852491841,-1.0497424433345115,0.5244783306581059,4268,0.7302323370630908,0.3047972435727519,3.2357115630158693,2.205151249349735,-2.2176758271205066,-1.8782249742002155,0.5433458294283037,3954,1.2027377907430892,0.7280657510193134,4.245471456266126,3.025153363116506,-2.632854894366562,-2.2514816398851223,0.5872534142640364,2587,2.665580682798213,1.9768983147131047,6.336219745957669,4.881706097967342,-3.0906655721678598,-2.625,0.6872825666795516,0.6161825726141079,4.270428015564202,3.0758725341426403,6.073830691921144,,,5848.0,5848.0,1.0
MISSINGNESS_BY_EXCHANGE,MISSING,5848,4984,0.22385097493081108,0.09651385752231785,1.7194404187923427,1.332458114528634,-1.241134852491841,-1.0497424433345115,0.5244783306581059,4268,0.7302323370630908,0.3047972435727519,3.2357115630158693,2.205151249349735,-2.2176758271205066,-1.8782249742002155,0.5433458294283037,3954,1.2027377907430892,0.7280657510193134,4.245471456266126,3.025153363116506,-2.632854894366562,-2.2514816398851223,0.5872534142640364,2587,2.665580682798213,1.9768983147131047,6.336219745957669,4.881706097967342,-3.0906655721678598,-2.625,0.6872825666795516,0.6161825726141079,4.270428015564202,3.0758725341426403,6.073830691921144,,,5848.0,5848.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Commercial services,196,161,-0.014260325138030494,-0.0977517106549363,1.8891446128405374,1.7913204062788737,-1.688948653349103,-1.2393998695368502,0.4720496894409938,131,0.04351061349377394,0.2271380604384587,3.3421973969960015,2.443174911875534,-3.1449537678482056,-2.3000100877635488,0.5267175572519084,127,0.4522533598989432,0.1427381943618577,4.3926380551633475,3.8831534490849418,-3.890911038022579,-3.187819674081116,0.5590551181102362,103,2.9573415511106447,2.6982637259502784,6.360787856184766,6.558812200161079,-4.098046426709791,-3.25915714848366,0.8058252427184466,0.7796610169491526,5.06,3.1496062992125986,6.097087378640777,,,196.0,196.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Communications,27,23,-0.5465709075565255,-0.1240438288195089,0.9760021818501875,0.4233017536787065,-2.4814718178054482,-1.915301127899549,0.34782608695652173,21,-0.7818191870417159,-0.1699957501062554,1.5580951467736146,1.2798634812286602,-3.21232052582102,-2.623673142399363,0.42857142857142855,21,1.0764991420821377,1.696690406367818,4.35353420718699,3.293667658308541,-3.2575154804206337,-2.623673142399363,0.9047619047619048,19,0.5775096466448618,0.2897950734837451,5.854248882878127,5.506106396191268,-4.151667915743347,-3.839590443686014,0.5263157894736842,0.5,6.222222222222222,3.0952380952380953,7.2631578947368425,,,27.0,27.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Consumer durables,171,151,0.007937857751507002,0.084039045833606,1.5780822650787167,1.2667660208643738,-1.4259308143756608,-1.3441676792223634,0.5033112582781457,128,0.7868818937745903,-0.4473148074278288,3.4945057948085774,2.0055881703474054,-2.17720325662537,-1.991409605622807,0.4296875,106,1.3818459133670886,0.0789525626686105,4.814928925699075,2.740965802572904,-2.3658489428533627,-2.35161086993429,0.5094339622641509,59,2.267152762140528,1.5514900769280526,7.001685489629474,4.084687767322515,-2.952440445667245,-3.0725705638528944,0.7288135593220338,0.5151515151515151,3.3684210526315788,3.047169811320755,5.203389830508475,,,171.0,171.0,1.0
