danger_state,cohort,N,N_5d,N_10d,mean_return_5d,median_return_5d,std_return_5d,mean_return_10d,median_return_10d,std_return_10d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,positive_5d_rate,positive_10d_rate,target_hit_5d_rate,stop_hit_5d_rate,target_hit_10d_rate,stop_hit_10d_rate,MFE_MAE_ratio_5d,evidence_strength,mean_abs_TS_match_delta,mean_abs_SQ_match_delta
Climax reversal risk,DANGER,15,3,3,2.710863666666667,3.858146,6.080494723365554,-1.4493446666666667,-0.653418,4.43345873661212,4.171615,4.413958,-2.8596353333333333,-1.897893,4.272836,4.717621,-3.1443193333333332,-2.751945,0.6666666666666666,0.3333333333333333,1.0,0.0,1.0,0.0,1.4587926479203759,DESCRIPTIVE_ONLY,,
Climax reversal risk,MATCHED_NON_DANGER,15,15,3,-5.1201502,-6.348296,1.8737655443213124,-0.770218,-0.378788,2.581992519571658,1.7816375333333339,1.974388,-5.449473133333332,-6.379594,2.095594333333333,2.410468,-5.9956993333333335,-6.21561,0.0,0.3333333333333333,0.0,0.75,0.0,1.0,0.3269375753841991,DESCRIPTIVE_ONLY,0.4062800000000024,0.09999333333333205
Distribution risk,DANGER,1415,910,602,1.702208908791209,0.899529,4.815742722558482,3.576248438538206,2.628362,5.58250553240542,4.860792619780219,3.655108,-2.5586094549450547,-2.1688590000000003,7.409624104651162,5.602568,-2.8904462541528235,-2.532121,0.6120879120879121,0.7325581395348837,0.3562043795620438,0.21313868613138687,0.6258205689277899,0.23413566739606126,1.8997790422394116,STRONGER_AGGREGATE,,
Distribution risk,MATCHED_NON_DANGER,1415,972,585,1.0510615637860083,0.9224865,4.098981117796425,2.9177979111111108,2.260382,5.076405309465412,4.07159145473251,3.038835,-2.545032977366255,-2.09046,6.411847743589743,5.172414,-3.0996424290598292,-2.416971,0.6080246913580247,0.6991452991452991,0.29457364341085274,0.2248062015503876,0.5414012738853503,0.2908704883227176,1.599818741423942,STRONGER_AGGREGATE,0.0030046643109544746,0.012787773851589357
Failed breakout,DANGER,513,383,304,1.3629293759791121,0.870147,4.234085445632628,1.9680098486842106,1.5277635,4.222850880350213,3.920583775456919,2.912783,-2.402599626631854,-2.04227,5.062371322368421,3.799125,-2.849688157894737,-2.517536,0.6370757180156658,0.6743421052631579,0.32234432234432236,0.326007326007326,0.4811320754716981,0.30660377358490565,1.6318090338476785,USEFUL_BUT_NOISY,,
Failed breakout,MATCHED_NON_DANGER,513,426,305,0.8845435633802814,0.7446664999999999,4.74061510367068,2.3076983245901643,1.490917,5.314593064194787,3.8751914178403757,2.518223,-3.0095177206572767,-2.5322605,6.374028272131147,4.828039,-3.606299249180328,-3.250803,0.5892018779342723,0.6426229508196721,0.28753993610223644,0.3546325878594249,0.5560747663551402,0.46261682242990654,1.2876453231164349,USEFUL_BUT_NOISY,0.0016181286549707963,0.17811461988304078
