component,component_column,analysis_kind,slice_value,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,spearman_5d,spearman_10d,decile_monotonicity_5d,decile_monotonicity_10d,bootstrap_clusters,bootstrap_mean_ci_low,bootstrap_mean_ci_high
Entry Quality,v5_EQ,OVERALL,ALL,5848,4984,0.22385097493081108,0.09651385752231785,1.7194404187923427,1.332458114528634,-1.241134852491841,-1.0497424433345115,0.5244783306581059,4268,0.7302323370630908,0.3047972435727519,3.2357115630158693,2.205151249349735,-2.2176758271205066,-1.8782249742002155,0.5433458294283037,3954,1.2027377907430892,0.7280657510193134,4.245471456266126,3.025153363116506,-2.632854894366562,-2.2514816398851223,0.5872534142640364,2587,2.665580682798213,1.9768983147131047,6.336219745957669,4.881706097967342,-3.0906655721678598,-2.625,0.6872825666795516,0.6161825726141079,4.270428015564202,3.0758725341426403,6.073830691921144,-0.046081814261790664,0.02073150314221625,-0.49090909090909085,0.2606060606060606,7.0,0.907255528739612,1.5285947465902214
Entry Quality,v5_EQ,TOP_10_PCT,TOP_10_PCT,592,491,0.1171026021464885,-0.2561421850496681,1.5553058811458358,1.1304347826087024,-1.3065268191728217,-1.1333333333333306,0.45010183299389,407,0.4196124643168437,-0.1298800519520138,2.9543819768641266,1.695073318471274,-2.291982157280611,-2.200392927308448,0.48402948402948404,356,1.2701479452817714,0.7905129727232119,4.027083876703478,2.594054523217748,-2.5677048157479803,-2.4984227129337566,0.5758426966292135,215,3.7507281848116616,2.353300733496333,6.703481488455259,4.670505438259753,-2.8914894263052173,-2.754742159946621,0.7906976744186046,0.6239316239316239,4.089887640449438,2.904494382022472,6.6465116279069765,,,,,7.0,0.4054648030497053,2.4633516421147137
Entry Quality,v5_EQ,TOP_20_PCT,TOP_20_PCT,1178,990,0.07029204385956554,-0.11095888337449561,1.5269660452994964,1.1760565445640303,-1.2767013380603576,-1.0834193253372093,0.4777777777777778,822,0.41489539698748246,-0.087329723010332,2.835257676186381,1.891065564488725,-2.2714651194026683,-2.1178513071895444,0.49148418491484186,727,1.2246606177829933,0.6640248953365901,4.002322374463648,2.594771241830074,-2.595346624379943,-2.406093127921072,0.5653370013755158,429,3.193207342469264,2.184354986276293,6.368977704403623,4.673867885334437,-2.9864301327229517,-2.836590662323568,0.717948717948718,0.6284584980237155,4.426229508196721,3.0178817056396148,6.4475524475524475,,,,,7.0,0.40540107353540156,2.3122930203332612
Entry Quality,v5_EQ,DECILE,1,525,475,0.1416672490914437,0.0241080038573038,1.5952050816465053,1.2289871450769765,-1.1021365321600833,-0.9882052916799556,0.5031578947368421,433,0.5716702133239656,0.2342704149933094,2.9405172119805214,2.027551416375628,-2.052633842731802,-1.659954473822456,0.535796766743649,393,1.3285162059652065,0.8701472556894352,3.8734455170547615,2.9127829560585905,-2.4862983271746697,-2.055682017159865,0.6335877862595419,314,1.8338601828881376,1.500717734568724,4.984305711179492,3.7991251103286827,-2.9607594492118503,-2.623550945698594,0.6624203821656051,0.5947712418300654,4.339805825242719,2.9796437659033077,5.808917197452229,,,,,7.0,0.8350558364382462,1.737865560991741
Entry Quality,v5_EQ,DECILE,2,591,420,0.6549883304705689,0.4069552349241556,1.9273351107491608,1.4322344322344471,-0.9526467092378317,-0.7781344227215214,0.5833333333333334,308,0.8651048422246738,0.6266873857570521,2.9882114463527425,2.470814006315347,-1.953591649900193,-1.489868891537549,0.5974025974025974,284,1.6911551410268648,1.212311606383143,3.961014161829907,3.621485894205801,-2.097572677409881,-1.7192679211474937,0.6690140845070423,123,3.9358987479882743,2.680856796443476,7.2352861646635676,5.685510071474975,-2.592985815879607,-2.2105068442471287,0.7154471544715447,0.7777777777777778,4.173913043478261,3.5035211267605635,6.926829268292683,,,,,7.0,-0.19624828652986756,1.8843562273176964
Entry Quality,v5_EQ,DECILE,3,878,764,0.38227191688313406,0.19806861733862036,2.1268711153510043,1.5547139724935155,-1.1764328047513426,-1.0601808543810431,0.5536649214659686,683,1.309420088161833,0.6102877070618851,4.163324283691338,2.547770700636942,-2.204163491822117,-2.012123253072906,0.5519765739385066,636,1.721519592779391,0.7491541807636448,5.337055333708367,3.6102069078539967,-2.7580990477795218,-2.374513244434157,0.5801886792452831,487,3.5394631652083333,2.5574632514042017,7.524323349377148,5.600517966979601,-2.956412159459884,-2.548543689320404,0.7371663244353183,0.6942446043165468,4.090909090909091,3.0125786163522013,6.08829568788501,,,,,6.0,1.3824787022534462,2.279742551020188
Entry Quality,v5_EQ,DECILE,4,353,318,0.050301743592750435,0.20859781462161386,1.4646307652455985,1.2000729048155079,-1.5898502410094235,-1.2799976632075771,0.5408805031446541,266,0.6691770564235644,0.5819375281523542,3.1324325135431814,2.3696438800173247,-2.6822140582062146,-2.1137782941260843,0.5789473684210527,255,0.9542251537309847,0.5150846210448812,4.18360698709526,3.1162722328384573,-2.9995282919142827,-2.547890028570088,0.5490196078431373,154,1.3490870281730127,0.6540092032319977,5.865368701127656,4.650637769499944,-3.8039103083640353,-3.415168231776644,0.5844155844155844,0.6923076923076923,4.766666666666667,3.1019607843137256,5.253246753246753,,,,,6.0,-0.02894228776551638,1.8571917034852443
Entry Quality,v5_EQ,DECILE,5,574,497,0.24052892911932225,0.1207729468599039,1.7488623282104012,1.3960855907858338,-1.4699332731899404,-1.2483281319661257,0.5271629778672032,439,0.7679486525805784,0.497017892644136,3.406478244008628,2.38883934259142,-2.419186240620433,-1.9207592648388008,0.592255125284738,416,1.0205673201878898,0.8278411347290238,4.249530160385045,3.1189083820662766,-2.829534982585043,-2.119588448359572,0.6081730769230769,299,1.9920968560571155,1.4830751577739498,5.99724622067852,4.810267857142869,-3.472570528915808,-2.613023641642476,0.6488294314381271,0.46511627906976744,4.294117647058823,3.0576923076923075,5.8561872909699,,,,,7.0,0.5165375488310021,1.469788354979625
Entry Quality,v5_EQ,DECILE,6,581,509,0.20331584515712117,0.084039045833606,1.7387921968009024,1.2667660208643738,-1.277955726432803,-1.1811023622047112,0.5127701375245579,437,0.4864536490187335,-0.0217592340749694,3.0518633147561793,2.062081025939944,-2.2897262204347038,-2.0884520884520974,0.4874141876430206,413,0.8937613548338522,0.3667647724699963,4.014222040124691,2.69245354569585,-2.6987881791657573,-2.3859065057566964,0.5423728813559322,246,2.127805835751956,1.4510341916420533,6.264861640618758,4.376807434783192,-3.0236729852103577,-2.4749249128291573,0.6585365853658537,0.5826771653543307,3.6219512195121952,3.1065375302663436,5.8861788617886175,,,,,7.0,0.290999587179791,1.4241453290358521
Entry Quality,v5_EQ,DECILE,7,583,508,0.19324771038289323,0.04455577412737495,1.6391574720508924,1.2854407290926684,-1.2029840115763715,-0.9976525821596248,0.5177165354330708,443,0.4564483579998948,0.2251434381581818,2.9742523099233016,2.1469492185327343,-2.155786287546805,-1.7795856107792107,0.5507900677200903,428,0.9499220664898744,0.7583446356493551,3.976703618617781,3.087703087703076,-2.6231057648978995,-2.1682127485513347,0.6004672897196262,286,2.222380295017453,2.0495106505469263,5.893268857216651,5.078608758055125,-3.2158342502709067,-2.2353189269581297,0.6643356643356644,0.5679012345679012,4.258928571428571,3.1261682242990654,6.129370629370629,,,,,7.0,0.41140820438477127,1.4121600124731437
