candidate_id,from_action,to_action,action_changed,count,percentage,independent_dates,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,bootstrap_clusters_1d,mean_return_1d_ci_low,mean_return_1d_ci_high,bootstrap_clusters_3d,mean_return_3d_ci_low,mean_return_3d_ci_high,bootstrap_clusters_5d,mean_return_5d_ci_low,mean_return_5d_ci_high,bootstrap_clusters_10d,mean_return_10d_ci_low,mean_return_10d_ci_high
M1A_V4_FILTER_EXTREME,AVOID,AVOID,False,1729,0.295656634746922,9,1729,1430,0.41513633699076646,0.21618143278842034,2.0118670676195576,1.503464913262309,-1.139971606558128,-0.9528636594019368,0.5587412587412588,1223,1.1359568435101484,0.6056018168054456,3.722866570876986,2.492911153119093,-2.160945693621321,-1.807701059338096,0.5674570727718724,1131,1.7003613932813084,0.894919168591235,4.844497191562991,3.6177806619078767,-2.58588420430599,-2.1741499564080224,0.6038903625110522,784,3.219858986687386,2.3387182787553695,7.068626547016867,5.41176470588236,-2.982186128585078,-2.579791632214324,0.6875,0.6582809224318659,4.102777777777778,3.145888594164456,6.192602040816326,8,0.08645873628959666,0.786388966073401,7,0.7989599299536627,1.5303793506526198,7,1.5063998683746627,1.9580654305257728,6,3.0595279348598847,3.5950286044471187
M1A_V4_FILTER_EXTREME,AVOID,FILTERED,True,46,0.00786593707250342,8,46,29,0.29543031814099163,0.2046245140167713,1.599159364153802,1.461632155907422,-1.3779470971168364,-1.3980868285504044,0.5862068965517241,21,0.33253076573033014,0.8739985433357633,2.53361956439895,2.112163146394752,-2.529532251689527,-2.1167132147581924,0.7142857142857143,21,0.38105148000017197,-0.228529303354219,2.8282488865857016,3.1162722328384573,-2.6284173124815857,-2.1167132147581924,0.47619047619047616,11,-0.968492824410914,0.1175951785976847,3.3952240873033848,3.1162722328384573,-4.099522640947135,-4.020285168308102,0.6363636363636364,0.5,3.0,2.857142857142857,3.3636363636363638,7,-0.15439248417154805,0.9714223285872984,6,-1.0551888732555144,1.606169755510485,6,-1.453701001751575,1.5439933396373033,5,-3.450237254721716,0.18907604927627972
M1A_V4_FILTER_EXTREME,DEFENSIVE,DEFENSIVE,False,516,0.08823529411764706,9,516,440,-0.16046320126729957,-0.3781611912077598,1.4782896928476927,1.1470090365806596,-1.5814425551699567,-1.273182430725317,0.42727272727272725,380,-0.41893620318729313,-0.3198499955687828,2.308848693911145,1.6183339585899903,-2.893886174614328,-2.506532468789324,0.45526315789473687,360,-0.39503989789212307,-0.29706099594414836,2.8147762874691518,2.0208701810749075,-3.2594183715970555,-2.861635220125791,0.44722222222222224,225,0.27514390156135166,0.3996346197762124,4.080420156548775,3.532748839608036,-3.9974915116433505,-3.187819674081116,0.5288888888888889,0.38823529411764707,5.25,2.8694444444444445,5.928888888888889,8,-0.4336080565899872,0.4282328308439591,7,-0.9592229810010086,0.22821921928508174,7,-1.1050808590204235,0.28874662816493646,6,-0.6465611019331204,1.6708706600963388
M1A_V4_FILTER_EXTREME,DEFENSIVE,FILTERED,True,31,0.005300957592339261,7,31,16,0.3154762068436352,0.8348457350272342,1.1734130749523985,1.5245009074410063,-1.7733562606658606,-1.551139427472864,0.625,14,-0.312456122619282,-0.9529309846953438,2.261344492808656,1.7059891107078062,-2.667651537911003,-2.7852083033686137,0.35714285714285715,13,-1.335536235537067,-1.7518529213591316,2.6020018839740535,1.7059891107078062,-3.3681683946592855,-2.984642132715154,0.3076923076923077,8,-3.3574096982527726,-3.72509384926365,2.162968660905723,1.7059891107078062,-5.80636223952825,-6.533575317604356,0.0,0.0,,2.4615384615384617,3.25,5,-0.07119216270899645,0.7981561371801171,4,-1.8389283870111148,1.5064684125264411,3,-2.364129727467224,0.07546769878078197,2,-4.058554184159957,-1.2539762405312183
M1A_V4_FILTER_EXTREME,ENTER,ENTER,False,38,0.006497948016415869,6,38,36,-0.31032323025206154,-0.011811094236152703,1.148179611303701,0.9389269277752188,-1.0951874010412521,-0.91618394609293,0.5,31,-0.04372289176448894,0.4534679995877644,1.792733678737132,2.151554557276269,-1.8189964987416871,-1.193994562004974,0.5161290322580645,30,0.1861097324789122,-0.4100366599193605,2.356211070813058,2.256675675663799,-2.1736814962226236,-1.8406968404581558,0.43333333333333335,5,2.4068371502475694,5.0920485703094265,5.232036721991036,6.311901964075872,-2.1255130030019154,-1.079961949527175,0.6,0.6,4.75,2.966666666666667,5.6,5,-0.8859560787192906,0.5299184644678524,4,-1.1442057266831058,0.4505459511390602,4,-1.4002118518840867,0.8957617387968669,2,-1.6209799798452162,5.0920485703094265
M1A_V4_FILTER_EXTREME,NO_TRADE,FILTERED,True,13,0.002222982216142271,6,13,6,1.3099231308773736,1.228836040638126,2.1047515023484453,1.9296628729817966,-0.46809147684973756,-0.5685407454200986,1.0,4,-0.7574281265326775,-0.8302157767985541,2.7325135980192092,2.980201278970962,-3.2504394351103194,-3.0757519618495213,0.5,4,0.7588633652173132,1.4375626673928221,3.3605582496777253,3.392050150186088,-3.2504394351103194,-3.0757519618495213,0.75,2,-4.006119386057799,-4.006119386057799,3.392050150186088,3.392050150186088,-5.755556561926046,-5.755556561926046,0.0,,,3.5,4.0,4,0.6390062166510427,2.0313436836949275,3,-3.5906804342070386,1.6581592171459494,3,-3.895937459951304,2.727032036007415,2,-5.79083929044214,-2.2213994816734584
M1A_V4_FILTER_EXTREME,NO_TRADE,NO_TRADE,False,1283,0.21939124487004105,9,1283,1115,0.23533026936862975,0.1984192598961653,1.7356925335139133,1.4341590612777066,-1.1565303569434429,-0.957250081583827,0.5560538116591929,960,0.8918717420770296,0.5126373305695875,3.3745047396177466,2.412353923205335,-2.0742289076680454,-1.6267247639796478,0.5739583333333333,874,1.3718940757467823,1.127364930758712,4.283921063992992,3.2621828433346822,-2.538138153732204,-2.043118918526737,0.6247139588100686,568,3.4353749666251674,2.376143054974078,6.781591871688091,5.276574050471572,-2.950048897280499,-2.215705441511895,0.7376760563380281,0.659942363112392,4.053639846743295,3.1178489702517163,6.251760563380282,8,-0.1177137959105493,0.7126527094721525,7,0.25216581665282406,1.837290659348264,7,0.804460924527351,2.05906547268692,6,2.7882756759792935,4.0365874823373575
M1A_V4_FILTER_EXTREME,WAIT_FOR_TRIGGER,FILTERED,True,91,0.015560875512995896,8,91,73,0.277913176135311,0.5159071367153878,1.3221015807678238,1.2324546388223112,-1.2302698865547936,-1.1240236235473433,0.547945205479452,59,1.207376043683571,0.7578628268283261,2.8560992014793687,2.1109271523178874,-1.9820090100460421,-2.1794221996958907,0.559322033898305,56,2.3555217774084265,1.9267588137797942,4.697544059475265,3.9330638357004566,-2.0953924348652726,-2.3463700642503915,0.7321428571428571,44,1.956629699753378,1.6486301397161451,6.568773893591598,6.659898888557903,-2.620502095984881,-2.3664788083026633,0.6818181818181818,0.5333333333333333,4.481481481481482,3.8035714285714284,5.840909090909091,7,-0.11494664173280653,0.915055462417539,6,0.28029408689522745,2.270454869413207,6,0.8908459555265004,3.3325689025345437,5,0.6720555189211656,3.4340505962088343
M1A_V4_FILTER_EXTREME,WAIT_FOR_TRIGGER,WAIT_FOR_TRIGGER,False,2101,0.3592681258549932,9,2101,1839,0.16294083332262174,0.0,1.5722402825814552,1.1956521739130643,-1.2886957434314128,-1.1293380595169489,0.4980967917346384,1576,0.6097058724615582,0.2076192987081393,3.0584927639454276,2.08711359996544,-2.1919231405623694,-1.9505684119228817,0.5266497461928934,1465,1.1225442695203829,0.6951616747437939,4.1703693224819585,2.8489595214559182,-2.593455785287486,-2.272417751318123,0.5877133105802048,940,2.4528579434339757,2.0552458804895197,6.067379789481934,4.711049682335833,-3.0356043928549297,-2.6493119591431302,0.7031914893617022,0.593939393939394,4.4880239520958085,3.0293515358361773,5.975531914893617,8,-0.051271945000597806,0.5204031027636975,7,0.3193591221607902,1.1282060808431498,7,0.5858800686600306,1.4838108662657012,6,1.617888846820189,3.2239274012554917
M1B_V4_FILTER_EXTENDED_EXTREME,AVOID,AVOID,False,1223,0.2091313269493844,9,1223,1000,0.39046225014570246,0.21446901013940645,1.9942675413223843,1.4639639639639768,-1.0860817282221478,-0.8823246164172571,0.561,845,1.1575007723100477,0.557702266661364,3.7729584239466236,2.4052760894866188,-2.138044027337977,-1.740365111561859,0.5526627218934911,769,1.7757915136998377,0.855342136854742,4.90939632242943,3.518356643356646,-2.611794166110203,-2.208365809301116,0.5955786736020806,521,3.6986357699410006,2.5954579485899743,7.266437651269649,5.685510071474975,-2.8200089697977853,-2.329959990586028,0.744721689059501,0.7025316455696202,4.111111111111111,3.1599479843953184,6.207293666026872,8,0.13280071113746406,0.7335596389548252,7,0.7694007709697576,1.5955196765779074,7,1.5278931171438885,2.143220138485128,6,3.2413292183426523,4.366939748891093
