candidate_id,candidate_version,config_hash,git_commit,decision_date,decision_date_coverage,input_signature,danger_variant,evaluation_scope,selection,coverage,candidate_count,independent_dates,rank_correlation_5d,rank_correlation_10d,rank_correlation_vs_v4,candidate_turnover_vs_v4,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,bootstrap_clusters_1d,mean_return_1d_ci_low,mean_return_1d_ci_high,bootstrap_clusters_3d,mean_return_3d_ci_low,mean_return_3d_ci_high,bootstrap_clusters_5d,mean_return_5d_ci_low,mean_return_5d_ci_high,bootstrap_clusters_10d,mean_return_10d_ci_low,mean_return_10d_ci_high,paired_dates_5d,paired_mean_delta_5d,paired_delta_5d_ci_low,paired_delta_5d_ci_high,paired_dates_10d,paired_mean_delta_10d,paired_delta_10d_ci_low,paired_delta_10d_ci_high
M0_V4,5.1.0-research.1,20af962b672513fa396da2a3b528968497958561156be292b66c8b949e1e100b,6b3ec7b19ecd8cc7d7a47be6d39a817fb444c9ae,MULTIPLE,2026-07-31;2026-08-03;2026-08-04,9ac8b67fc47e8c7dac33a8041973b40a8070367de5ce4d1279f5e6d261c13768,NO_DANGER_EXCLUSION,calibration,ALL_ELIGIBLE,1.0,1176,3,-0.1515906726169557,-0.038390892216161585,1.0,0.0,1176,1176,0.5113582329753568,0.4170159332198109,2.067099105581801,1.624661528848148,-1.1181474332534935,-0.9085503795184413,0.5935374149659864,1176,1.4711519998675882,0.9552238805970116,4.266813270321972,2.9461756373937664,-2.1795814776487967,-1.6078979983723152,0.6113945578231292,1176,1.7635547937080402,1.1650147800382538,5.472021875250468,3.8018469934744665,-2.7264161857134,-2.0061983428625254,0.6343537414965986,1176,3.067912120034384,2.2466039707419005,6.866105969423111,5.381017424048817,-3.1846269830518943,-2.435936012690809,0.7219387755102041,0.6875,3.8223844282238444,3.04421768707483,5.871598639455782,3,-0.10973214782826998,1.8005084447005213,3,0.9489787893969248,2.8925416418042773,3,1.5993903756690449,2.1219439065000456,3,1.9777522454565857,4.47372825224141,3,0.0,0.0,0.0,3,0.0,0.0,0.0
M0_V4,5.1.0-research.1,20af962b672513fa396da2a3b528968497958561156be292b66c8b949e1e100b,6b3ec7b19ecd8cc7d7a47be6d39a817fb444c9ae,MULTIPLE,2026-07-31;2026-08-03;2026-08-04,9ac8b67fc47e8c7dac33a8041973b40a8070367de5ce4d1279f5e6d261c13768,NO_DANGER_EXCLUSION,calibration,TOP_10_PCT,1.0,1176,3,-0.1515906726169557,-0.038390892216161585,1.0,0.0,109,109,0.1778544275814625,-0.0581540250893186,1.726690623670143,1.6002032004064135,-1.6022114750114438,-1.261092947220921,0.4954128440366973,109,0.7210621811934225,0.6401795142555455,3.644457022035993,2.700999369766821,-2.760121269836019,-2.243088158581119,0.5412844036697247,109,0.6413648000897697,0.0783085356303781,4.880253992348105,3.4128817038747705,-3.5910016480588736,-2.84913591779542,0.5412844036697247,109,3.860856872934598,3.223619007876466,6.75648955233494,5.461010922021869,-3.9903742975020133,-3.0540012135104155,0.7798165137614679,0.5686274509803921,5.052631578947368,2.7981651376146788,6.348623853211009,3,-0.571377468995789,0.5843215134073897,3,-0.044370608912190496,1.2035293093268054,3,-0.6209074404627793,1.3340089407233513,3,2.6032473791751953,5.278429936676249,3,0.0,0.0,0.0,3,0.0,0.0,0.0
M0_V4,5.1.0-research.1,20af962b672513fa396da2a3b528968497958561156be292b66c8b949e1e100b,6b3ec7b19ecd8cc7d7a47be6d39a817fb444c9ae,MULTIPLE,2026-07-31;2026-08-03;2026-08-04,9ac8b67fc47e8c7dac33a8041973b40a8070367de5ce4d1279f5e6d261c13768,NO_DANGER_EXCLUSION,calibration,TOP_20_PCT,1.0,1176,3,-0.1515906726169557,-0.038390892216161585,1.0,0.0,224,224,-0.10494127262293593,-0.29964574969901786,1.4721911086705544,1.4207090443225434,-1.581277488265052,-1.2075317232910332,0.4419642857142857,224,0.30850147808664324,0.0657703475030025,3.1756999358952136,2.1455602462160934,-2.765821471316943,-2.187499999999998,0.5,224,0.29126092713941454,0.30449038959512453,4.198332945569197,3.076923076923088,-3.467522737175983,-2.401079268151546,0.5401785714285714,224,2.7978444531300255,2.2570585549246847,5.874017901510882,4.875451819888488,-3.8887663165326782,-2.975336030275355,0.6964285714285714,0.5319148936170213,5.0476190476190474,2.8526785714285716,6.232142857142857,3,-0.7022633652307936,0.316585383731181,3,0.10389385395792593,0.46320246694316486,3,-0.13105863427533318,0.9533576209819365,3,1.9983968410247297,4.020501103373488,3,0.0,0.0,0.0,3,0.0,0.0,0.0
M1A_V4_FILTER_EXTREME,5.1.0-research.1,20af962b672513fa396da2a3b528968497958561156be292b66c8b949e1e100b,6b3ec7b19ecd8cc7d7a47be6d39a817fb444c9ae,MULTIPLE,2026-07-31;2026-08-03;2026-08-04,5bfab40b55f0372eee190e8729c154a2597afab8f2f451ad5fb694291f2cbad8,NO_DANGER_EXCLUSION,calibration,ALL_ELIGIBLE,0.9889455782312925,1163,3,-0.15265235343388076,-0.04350977712025492,0.999991465462563,0.011054421768707483,1163,1163,0.5168634131704671,0.4281468795648058,2.0708794409903826,1.623563218390811,-1.1136809030496508,-0.9074152842761918,0.5950128976784179,1163,1.4919885701701534,0.977881975506656,4.2879012988623995,2.9548693586698427,-2.170418383218303,-1.5719151165837109,0.6147893379191746,1163,1.7626941477853122,1.127364930758712,5.489832957837989,3.833390548117621,-2.7220622452709353,-1.9813144329896888,0.6345657781599312,1163,3.1008863074429667,2.300347222222232,6.88206752455902,5.385455112543536,-3.182562930458475,-2.406093127921072,0.7222699914015477,0.6869244935543278,3.824390243902439,3.0395528804815135,5.868443680137576,3,-0.10606472399519737,1.8005084447005213,3,0.9883658312782855,2.8925416418042773,3,1.58815710659022,2.1219439065000456,3,2.03462616337622,4.47372825224141,3,-0.002296408695718751,-0.011233269078824826,0.004344042991668573,3,0.01935720736516437,0.0,0.056873917919634254
M1A_V4_FILTER_EXTREME,5.1.0-research.1,20af962b672513fa396da2a3b528968497958561156be292b66c8b949e1e100b,6b3ec7b19ecd8cc7d7a47be6d39a817fb444c9ae,MULTIPLE,2026-07-31;2026-08-03;2026-08-04,5bfab40b55f0372eee190e8729c154a2597afab8f2f451ad5fb694291f2cbad8,NO_DANGER_EXCLUSION,calibration,TOP_10_PCT,0.9889455782312925,1163,3,-0.15265235343388076,-0.04350977712025492,0.999991465462563,0.009174311926605505,108,108,0.18322660647078381,0.01569376109430975,1.735566413332265,1.6002032004064135,-1.605701295152471,-1.261092947220921,0.5,108,0.7675325000972902,0.6401795142555455,3.6710899079792805,2.8889612233449546,-2.745206789464469,-2.243088158581119,0.5462962962962963,108,0.7336644132039337,0.0783085356303781,4.918329442831321,3.4128817038747705,-3.5365359300286947,-2.8175359877640362,0.5462962962962963,108,3.9570582827892506,3.223619007876466,6.811937554299514,5.461010922021869,-3.9314783755364036,-3.0339176028026382,0.7870370370370371,0.5686274509803921,5.052631578947368,2.814814814814815,6.398148148148148,3,-0.5760729294549707,0.5843215134073897,3,0.06878192137721278,1.2035293093268054,3,-0.3790717189134135,1.3340089407233513,3,2.8569180116902824,5.278429936676249,3,0.08061190718312194,0.0,0.24183572154936583,3,0.08455687750502916,0.0,0.2536706325150875
M1A_V4_FILTER_EXTREME,5.1.0-research.1,20af962b672513fa396da2a3b528968497958561156be292b66c8b949e1e100b,6b3ec7b19ecd8cc7d7a47be6d39a817fb444c9ae,MULTIPLE,2026-07-31;2026-08-03;2026-08-04,5bfab40b55f0372eee190e8729c154a2597afab8f2f451ad5fb694291f2cbad8,NO_DANGER_EXCLUSION,calibration,TOP_20_PCT,0.9889455782312925,1163,3,-0.15265235343388076,-0.04350977712025492,0.999991465462563,0.008928571428571428,222,222,-0.09992979028858365,-0.29964574969901786,1.4756555389117156,1.4207090443225434,-1.5867131725535333,-1.2075317232910332,0.44144144144144143,222,0.31274817912867214,0.0657703475030025,3.179980079393374,2.1455602462160934,-2.7809823985445696,-2.187499999999998,0.5,222,0.2836629515928938,0.30449038959512453,4.201487404167001,3.076923076923088,-3.4859686684786624,-2.462111258758687,0.5405405405405406,222,2.7933888687897253,2.2570585549246847,5.871709721737656,4.7354027034086315,-3.9008851385344157,-2.975336030275355,0.6981981981981982,0.5319148936170213,5.0476190476190474,2.8468468468468466,6.2342342342342345,3,-0.7031755330862326,0.316585383731181,3,0.10968514094592459,0.46320246694316486,3,-0.15918518643263438,0.9533576209819365,3,1.9696408971607617,4.020501103373488,3,-0.009375517385767066,-0.0281265521573012,0.0,3,-0.00958531462132258,-0.028755943863967737,0.0
M1B_V4_FILTER_EXTENDED_EXTREME,5.1.0-research.1,20af962b672513fa396da2a3b528968497958561156be292b66c8b949e1e100b,6b3ec7b19ecd8cc7d7a47be6d39a817fb444c9ae,MULTIPLE,2026-07-31;2026-08-03;2026-08-04,4e29062fdf241a4dd7efaa84752e82d1d6767ef3d25e01aa89a964f7edad89d2,NO_DANGER_EXCLUSION,calibration,ALL_ELIGIBLE,0.7678571428571429,903,3,-0.1326434357484642,-0.04473735523918702,0.9974743541408972,0.23214285714285715,903,903,0.6752485733780031,0.5366788639135756,2.119561793999398,1.624661528848148,-1.0005657726373924,-0.7980725794308086,0.6212624584717608,903,1.8987443155347938,1.1650147800382538,4.523279677445162,3.180492021755565,-1.9390930120023058,-1.4111365369946616,0.6345514950166113,903,2.0453230289683146,1.204230614473767,5.78844432480613,4.188096987509193,-2.5302343070014266,-1.8746041798606727,0.64562569213732,903,3.4354736956654794,2.3797678275290224,7.089331642515404,5.549722513874311,-2.9630952934491384,-2.272306267366453,0.7486157253599114,0.7086092715231788,3.7045454545454546,3.044296788482835,5.736434108527132,3,0.010316783518011234,1.7928668790405327,3,1.412948620268671,3.046470060643006,3,1.923248819415115,2.196587379158602,3,2.595524411893771,4.3729175170863614,3,0.21647092535403925,0.07464347265855631,0.32385844374606987,3,0.20160680262760336,-0.10081073515504801,0.6177721664371851
M1B_V4_FILTER_EXTENDED_EXTREME,5.1.0-research.1,20af962b672513fa396da2a3b528968497958561156be292b66c8b949e1e100b,6b3ec7b19ecd8cc7d7a47be6d39a817fb444c9ae,MULTIPLE,2026-07-31;2026-08-03;2026-08-04,4e29062fdf241a4dd7efaa84752e82d1d6767ef3d25e01aa89a964f7edad89d2,NO_DANGER_EXCLUSION,calibration,TOP_10_PCT,0.7678571428571429,903,3,-0.1326434357484642,-0.04473735523918702,0.9974743541408972,0.22018348623853212,85,85,0.3097873833542276,-0.0581540250893186,1.65993961813083,1.6002032004064135,-1.5236874783088397,-1.1460931706330555,0.49411764705882355,85,0.9134827479625469,0.6401795142555455,3.615124470414247,3.076923076923088,-2.508723756184098,-2.2421016872381405,0.5764705882352941,85,0.935353542860434,0.0783085356303781,5.014839271391373,3.616762302208332,-3.290774905340321,-2.537665764076924,0.5764705882352941,85,3.81874783702752,2.50248121366794,6.661533558311052,5.461010922021869,-3.7448674639001416,-3.013833992094861,0.7529411764705882,0.5348837209302325,5.266666666666667,2.835294117647059,6.117647058823529,3,-0.3338003707749117,4.175910217930312,3,-1.1092261516377322,1.0977610937309483,3,-1.7356126843272814,1.2226260281762185,3,1.500717734568724,4.500577691156463,3,-0.5811795508834521,-2.617292307168695,0.9851365670654714,3,-1.345557046591285,-3.7777122021075247,-0.05234129413575787
M1B_V4_FILTER_EXTENDED_EXTREME,5.1.0-research.1,20af962b672513fa396da2a3b528968497958561156be292b66c8b949e1e100b,6b3ec7b19ecd8cc7d7a47be6d39a817fb444c9ae,MULTIPLE,2026-07-31;2026-08-03;2026-08-04,4e29062fdf241a4dd7efaa84752e82d1d6767ef3d25e01aa89a964f7edad89d2,NO_DANGER_EXCLUSION,calibration,TOP_20_PCT,0.7678571428571429,903,3,-0.1326434357484642,-0.04473735523918702,0.9974743541408972,0.22321428571428573,174,174,-0.014094607072670315,-0.26213773668335993,1.4659304656571623,1.4434947768281026,-1.5996068846052047,-1.1460931706330555,0.4482758620689655,174,0.661370047402966,0.18091143639321625,3.2948254486580013,2.437891862460395,-2.6813995524988323,-2.2421016872381405,0.5229885057471264,174,0.6840685652773085,0.8438985754709472,4.499696647731323,3.2316082617776742,-3.386479705609805,-2.537665764076924,0.5804597701149425,174,3.256933680797965,2.4845739401673006,6.200114621966133,5.031999877599159,-3.7758079324146143,-2.975336030275355,0.7298850574712644,0.5185185185185185,5.181818181818182,2.9367816091954024,6.241379310344827,3,-0.7702680563985218,0.4145805558892458,3,0.2990653779818891,0.9083142807257222,3,0.13571003773282816,0.9906183439803777,3,2.5635597996409873,4.020501103373488,3,0.23289696347660763,0.0,0.43192221842166156,3,0.2888017515566193,0.0,0.5651629586162579
M1C_V4_EXTENSION_SECONDARY,5.1.0-research.1,20af962b672513fa396da2a3b528968497958561156be292b66c8b949e1e100b,6b3ec7b19ecd8cc7d7a47be6d39a817fb444c9ae,MULTIPLE,2026-07-31;2026-08-03;2026-08-04,9ac8b67fc47e8c7dac33a8041973b40a8070367de5ce4d1279f5e6d261c13768,NO_DANGER_EXCLUSION,calibration,ALL_ELIGIBLE,1.0,1176,3,-0.1274819667232158,-0.024666402996018886,0.9648691708018297,0.0,1176,1176,0.5113582329753568,0.4170159332198109,2.067099105581801,1.624661528848148,-1.1181474332534935,-0.9085503795184413,0.5935374149659864,1176,1.4711519998675882,0.9552238805970116,4.266813270321972,2.9461756373937664,-2.1795814776487967,-1.6078979983723152,0.6113945578231292,1176,1.7635547937080402,1.1650147800382538,5.472021875250468,3.8018469934744665,-2.7264161857134006,-2.0061983428625254,0.6343537414965986,1176,3.067912120034384,2.2466039707419005,6.86610596942311,5.381017424048817,-3.1846269830518943,-2.435936012690809,0.7219387755102041,0.6875,3.8223844282238444,3.04421768707483,5.871598639455782,3,-0.10973214782827,1.8005084447005213,3,0.9489787893969248,2.8925416418042773,3,1.5993903756690449,2.1219439065000456,3,1.9777522454565857,4.47372825224141,3,0.0,0.0,0.0,3,0.0,0.0,0.0
