interaction,v4_band_label,extension_state,independent_dates,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,bootstrap_clusters_1d,mean_return_1d_ci_low,mean_return_1d_ci_high,bootstrap_clusters_3d,mean_return_3d_ci_low,mean_return_3d_ci_high,bootstrap_clusters_5d,mean_return_5d_ci_low,mean_return_5d_ci_high,bootstrap_clusters_10d,mean_return_10d_ci_low,mean_return_10d_ci_high,trigger_state_canonical,ts_band_label,setup_type,market_regime
V4_BAND_X_EXTENSION,6_TO_7,EXTENDED,9,363,301,0.5348544128039637,0.5373134328358287,1.9823506225961638,1.5618421316438535,-1.423969232347048,-1.1642487373295096,0.584717607973422,243,1.169871249919532,1.172768878718533,4.073151644945862,2.7602070155261504,-2.5455684444605713,-2.2667829119441985,0.5720164609053497,229,1.4610988218601255,0.7491541807636448,5.3586727406911026,3.937621832358684,-2.9242236221803983,-2.41150601975344,0.6026200873362445,162,2.8079735111824484,2.492526527311756,7.340066768143414,4.9324191968658,-3.2793578529214242,-2.8289480932241595,0.7345679012345679,0.675,4.114754098360656,3.03056768558952,6.339506172839506,8,-0.12162482706831089,1.1707763427271032,7,0.27150061602302344,1.9102157601153082,7,0.5554281237227375,2.1501341232863553,6,2.332144793451563,3.4748862150028446,,,,
V4_BAND_X_EXTENSION,6_TO_7,EXTREME,8,63,44,0.2145948767882423,0.27669992106741365,1.336250861575286,1.289772747900697,-1.2576007080049114,-1.1401974560382777,0.5909090909090909,31,1.5656285219797,0.8554319931565413,2.8382248802765955,2.1109271523178874,-2.1162586719630307,-2.1794221996958907,0.6774193548387096,31,1.5616740249682857,0.7864238410596025,4.347404354982967,2.9030265596046823,-2.366829459040566,-2.407566638005165,0.5806451612903226,20,1.1037541803311173,1.2353304508956109,6.311604767188082,6.69031931069437,-3.143975918818203,-2.2879761884313456,0.7,0.45454545454545453,5.7272727272727275,3.6451612903225805,5.05,7,-0.3672853625622582,0.890199166185293,6,0.05024490971178534,2.654409100929891,6,-0.1690262254085646,3.5673296340829643,5,-0.09121138874529273,2.1161414630405835,,,,
V4_BAND_X_EXTENSION,6_TO_7,HEALTHY,9,186,124,0.770081361820445,0.770811921891057,2.0399368567005447,1.6860020155401334,-0.8979507080917261,-0.6721433905899965,0.7096774193548387,94,1.8170178690047076,1.1723329425556983,4.320706871177488,2.935215073943387,-1.6750850221539406,-1.2245522730751581,0.6170212765957447,83,2.1321139170721195,1.0914433638844256,5.461834710171919,3.424345271262852,-2.228862460632363,-2.099834223613928,0.6385542168674698,36,4.764726768193377,2.3183907912728285,8.992815932294953,6.672339247597103,-2.5335053878512874,-2.232580961727171,0.8055555555555556,0.9444444444444444,3.7777777777777777,3.3012048192771086,5.555555555555555,8,0.328732739576517,1.191983143819438,7,1.0088741782418083,3.0230032526448776,7,1.4095135958856013,3.024533871346132,6,2.763499654101507,6.813203822542396,,,,
V4_BAND_X_EXTENSION,6_TO_7,MODERATE,9,442,346,0.32163894094880013,0.4172002680630671,1.985041767716621,1.5088013411567402,-1.1445988814507868,-0.8613259349777913,0.6069364161849711,257,1.6473445487518714,0.977869274318066,4.003212091770693,2.6567944250871056,-2.0215580274042564,-1.460028721876494,0.5992217898832685,233,2.16540203590091,1.452803938356162,5.099423975033451,3.897273349421893,-2.4220492745152966,-2.060940735627659,0.6137339055793991,144,3.897816855928705,2.768802759260547,7.402692489206897,5.757459831675593,-2.4592396108854384,-1.8072136466174893,0.7986111111111112,0.7741935483870968,3.433734939759036,3.0944206008583692,6.395833333333333,8,-0.21242966049584353,0.881274611960386,7,0.5619116317241774,2.790736368192966,7,0.6416375263238647,3.7125644938058584,6,3.391631339218586,4.466028698593549,,,,
V4_BAND_X_EXTENSION,7_TO_8,EXTENDED,9,893,810,0.2112452609881603,-0.00133113252755445,1.6955948977142872,1.3149891192985153,-1.3253503977336873,-1.1936423481938019,0.49876543209876545,751,0.3105922911878155,0.2586652871184647,2.8206287915151664,2.203355569031751,-2.3861020152475887,-1.9437390115256803,0.5525965379494008,727,0.6666426763311951,0.4530744336569636,3.627781823347693,2.8489595214559182,-2.760761854167961,-2.22944728286113,0.5639614855570839,470,1.632184401331462,0.8549715009499748,5.549913846211004,4.138274887817839,-3.4880103415443937,-3.187819674081116,0.5617021276595745,0.46236559139784944,4.415584415584416,2.9944979367262725,5.95531914893617,8,-0.09857675523400056,0.5215326745348103,7,-0.2085943514541614,0.6963237259558025,7,0.013206185000599687,1.126814345853424,6,0.8664518992448729,2.63819064922054,,,,
V4_BAND_X_EXTENSION,7_TO_8,EXTREME,9,87,68,0.31442191119601454,0.3812913065581957,1.3124787533170097,1.2743953366842864,-1.367274700773802,-1.3980868285504044,0.5441176470588235,61,0.23269525568011554,-0.0510204081632603,2.522255291717875,2.112163146394752,-2.2524786788371793,-2.2578295702840534,0.4918032786885246,57,1.2169402974029395,1.2039401678219486,3.6888217847189075,3.1162722328384573,-2.429751932044916,-2.3364274394385265,0.631578947368421,42,0.5438028281125223,0.1175951785976847,5.033589606740309,4.0850265009875315,-3.4772946775034708,-3.015482274971532,0.5238095238095238,0.48,3.7058823529411766,3.2982456140350878,5.166666666666667,7,0.011577581998584567,0.7313634197826612,6,-0.3470866997008922,1.3542044326156268,6,0.47764257988968123,2.084150673111551,5,-0.6298423876055386,2.891093259548644,,,,
V4_BAND_X_EXTENSION,7_TO_8,HEALTHY,9,576,474,0.4664445663983551,0.271930343049509,1.8322458157977284,1.50934497107168,-1.0854950068959452,-0.7970911020304783,0.6033755274261603,402,1.5991817723724624,1.2046492077186888,3.9300619694153784,2.6731160896130257,-1.7448311177731473,-1.5067746267148963,0.6567164179104478,365,1.9454205347614097,1.4235868806699248,5.039240715006498,3.673094582185477,-2.144365159296675,-1.766449318316532,0.6821917808219178,267,4.287668129351249,3.1132262542137523,7.7555178258946675,7.012727726478674,-2.2952219238176075,-1.9241760335302005,0.8539325842696629,0.8373493975903614,3.832258064516129,3.2904109589041095,6.344569288389513,8,-0.09439788429831143,0.8638143908843189,7,0.8272500238361749,2.2078312005122993,7,1.5441191877256455,2.193327095254358,6,4.01562284139583,4.656685508781592,,,,
V4_BAND_X_EXTENSION,7_TO_8,MODERATE,9,1577,1377,0.24108808276243732,0.1420959147424572,1.73914984749191,1.3605442176870763,-1.1717685921341816,-1.0405105438401785,0.5272331154684096,1168,0.8666386336187527,0.2080979857465248,3.434428458368914,2.2522522522522515,-2.111872707676738,-1.775666788454522,0.5342465753424658,1073,1.3465699653558896,0.4458431681090946,4.486538491140319,2.996167240607784,-2.5345932564680917,-2.1741499564080224,0.5806150978564771,709,2.8886535141003713,1.9894894894894928,6.474566075148445,4.910242872228077,-2.9744335803280286,-2.569334240157184,0.6981664315937941,0.6040609137055838,4.1477272727272725,3.0764212488350418,5.919605077574048,8,-0.12426110138475045,0.7023758603645757,7,0.3211228213884321,1.568591426329266,7,0.6965028592533725,1.9087824740879467,6,2.0884902516032087,3.562962845383073,,,,
V4_BAND_X_EXTENSION,GE_8,EXTENDED,8,217,196,-0.17747730844665008,-0.6249999999999978,1.806790815303876,1.4354611917350324,-1.5389223195473996,-1.2139640250094619,0.37755102040816324,185,-0.18183908079530664,-0.6373322174654805,2.604474731767957,1.6126436411626477,-2.627962678790557,-2.325894963931785,0.43243243243243246,178,0.45794459879034577,0.0955748829207792,3.325137563691341,1.9917561118686256,-3.0138582336874293,-2.6748046949743975,0.5168539325842697,118,0.8183186180621428,0.33501919552327286,5.079325867252107,3.5072281583909515,-3.509400987127606,-2.938386419225841,0.5,0.42105263157894735,3.269230769230769,3.039325842696629,5.3559322033898304,7,-0.7334289517530416,0.2965967851278543,6,-1.8788655019226828,1.0554895044425427,6,-1.6300425107755852,2.0985294123759384,5,-0.6613908123188007,2.3924020775676635,,,,
V4_BAND_X_EXTENSION,GE_8,EXTREME,2,3,2,0.4670967158372563,0.4670967158372563,2.466244994353972,2.466244994353972,-1.0550218093500707,-1.0550218093500707,0.5,2,4.186388207433723,4.186388207433723,4.559162839990982,4.559162839990982,-2.197376818137415,-2.197376818137415,1.0,2,1.7853189549914328,1.7853189549914328,5.47321728043303,5.47321728043303,-2.197376818137415,-2.197376818137415,1.0,0,,,,,,,,,,4.0,,1,,,1,,,1,,,0,,,,,,
